ID,F635 Median,B635 Median,F532 Median,B532 Median
No_DNA,365.0,0.0,236.0,0.0
hAB7634,3308.0,0.0,2986.0,0.0
hAC8756,666.0,0.0,452.0,0.0
hAC9765,337.0,0.0,409.0,0.0
hAC9902,1032.0,0.0,790.0,0.0
hAD0164,461.0,0.0,576.0,0.0
hAD0498,471.0,0.0,184.0,0.0
hAA1412,4690.0,0.0,3445.0,0.0
hAA1429,2212.0,0.0,835.0,0.0
hAA1435,7782.0,0.0,3146.0,0.0
hAA1439,513.0,0.0,304.0,0.0
hAA1613,1966.0,0.0,678.0,0.0
hAA1615,5180.0,0.0,905.0,0.0
hAA1618,1685.0,0.0,525.0,0.0
hAA1621,7400.0,0.0,1024.0,0.0
hAA5290,625.0,0.0,279.0,0.0
hAA5298,282.0,0.0,1044.0,0.0
hAD1695,151.0,0.0,725.0,0.0
hAD1714,273.0,0.0,57.0,0.0
hAD1720,31.0,0.0,0.0,0.0
chAD1735,0.0,0.0,0.0,0.0
hAD1265,195.0,0.0,3.0,0.0
hAD1273,704.0,0.0,180.0,0.0
hAD1287,177.0,0.0,37.0,0.0
hAD1299,101.0,0.0,0.0,0.0
hAD1555,279.0,0.0,100.0,0.0
hAD1559,36.0,0.0,0.0,0.0
hAD1578,164.0,0.0,52.0,0.0
hAD1580,418.0,0.0,139.0,0.0
hAC8609,344.0,0.0,272.0,0.0
hAC8723,1910.0,0.0,1498.0,0.0
hAC8740,336.0,0.0,71.0,0.0
hAB1534,900.0,0.0,559.0,0.0
hAB1553,1884.0,0.0,1017.0,0.0
hAB1556,4064.0,0.0,1330.0,0.0
hAB6458,545.0,0.0,132.0,0.0
hAB6494,924.0,0.0,933.0,0.0
hAB6507,206.0,0.0,260.0,0.0
hAB6538,694.0,0.0,273.0,0.0
hAB6806,848.0,0.0,270.0,0.0
hAB6819,288.0,0.0,493.0,0.0
hAB6826,950.0,0.0,728.0,0.0
hAB6841,1133.0,0.0,490.0,0.0
hAD1257,688.0,0.0,69.0,0.0
hAD1265,77.0,0.0,0.0,0.0
hAD1287,0.0,0.0,0.0,0.0
hAD1318,514.0,0.0,249.0,0.0
hAE0108,315.0,0.0,49.0,0.0
hAE0110,874.0,0.0,342.0,0.0
hAE0843,891.0,0.0,530.0,0.0
hAE0867,2084.0,0.0,1181.0,0.0
hAE0891,1552.0,0.0,1083.0,0.0
hAE0915,2190.0,0.0,1173.0,0.0
hAE0849,784.0,0.0,553.0,0.0
hAE0873,5590.0,0.0,5823.0,0.0
hAE0897,893.0,0.0,767.0,0.0
hAE0921,2193.0,0.0,389.0,0.0
hAB1190,0.0,0.0,0.0,0.0
hAB1199,0.0,0.0,0.0,0.0
hAB1208,624.0,0.0,317.0,0.0
hAB1216,6320.0,0.0,2418.0,0.0
hAB1499,1982.0,0.0,906.0,0.0
hAC4595,2698.0,0.0,615.0,0.0
hAD1909,675.0,0.0,359.0,0.0
hAD1920,533.0,0.0,206.0,0.0
hAD1946,573.0,0.0,416.0,0.0
hAD1976,378.0,0.0,215.0,0.0
hAD4357,827.0,0.0,607.0,0.0
hAD4366,566.0,0.0,374.0,0.0
hAD4372,0.0,0.0,0.0,0.0
hAD4376,291.0,0.0,36.0,0.0
hAE0056,1148.0,0.0,1069.0,0.0
hAE0058,4304.0,13.0,4363.0,0.0
hAE0060,1715.0,8.0,863.0,0.0
hAE0062,1055.0,0.0,1550.0,0.0
hAE0104,92.0,0.0,0.0,0.0
hAE0106,51274.0,0.0,1675.0,0.0
hAC1025,0.0,0.0,0.0,0.0
hAC1031,0.0,0.0,0.0,0.0
hAC1063,0.0,0.0,0.0,0.0
hAC1072,50.0,0.0,0.0,0.0
hAC1243,1402.0,0.0,31.0,0.0
hAC1280,459.0,0.0,288.0,0.0
hAC1342,473.0,0.0,115.0,0.0
hAC1360,5219.0,0.0,1921.0,0.0
hAC4299,835.0,0.0,316.0,0.0
hAC4304,499.0,0.0,272.0,0.0
hAC4319,601.0,0.0,290.0,0.0
hAC4322,1242.0,0.0,730.0,0.0
hAC4477,1057.0,0.0,625.0,0.0
hAC4560,2449.0,0.0,1934.0,0.0
hAC4584,2100.0,0.0,1948.0,0.0
hAA9551,1553.0,0.0,1720.0,0.0
hAA9574,1636.0,0.0,1223.0,0.0
hAA9580,1175.0,0.0,646.0,0.0
hAA9903,130.0,0.0,172.0,0.0
hAA9928,1182.0,0.0,1186.0,0.0
hAA9943,681.0,0.0,467.0,0.0
hAA9951,198.0,0.0,0.0,0.0
hAB7578,155.0,0.0,117.0,0.0
hAB7596,500.0,0.0,391.0,0.0
hAB7614,886.0,0.0,732.0,0.0
hAB7631,408.0,0.0,234.0,0.0
hAB8068,668.0,0.0,252.0,0.0
hAB8078,545.0,0.0,189.0,0.0
hAB8105,255.0,0.0,75.0,0.0
hAB8120,581.0,0.0,466.0,0.0
hAA3970,436.0,0.0,107.0,0.0
hAA3978,1914.0,0.0,762.0,0.0
hAA4429,552.0,0.0,217.0,0.0
hAA4434,389.0,0.0,186.0,0.0
hAA4441,122.0,0.0,25.0,0.0
hAA4456,393.0,0.0,149.0,0.0
hAA7309,3802.0,0.0,1356.0,0.0
hAA7324,1016.0,0.0,498.0,0.0
hAA7334,477.0,0.0,107.0,0.0
hAA7338,1022.0,0.0,953.0,0.0
hAA7743,8010.0,0.0,70.0,0.0
hAA7767,1311.0,0.0,710.0,0.0
hAA7795,389.0,0.0,189.0,0.0
hAA7805,2091.0,0.0,1289.0,0.0
hAA9514,1275.0,0.0,773.0,0.0
hAA0581,7964.0,0.0,614.0,0.0
hAA0736,1193.0,0.0,656.0,0.0
hAA0739,7844.0,0.0,4720.0,0.0
hAA0747,2972.0,0.0,316.0,0.0
hAA0750,347.0,0.0,12.0,0.0
hAA1941,950.0,0.0,291.0,0.0
hAA1949,476.0,0.0,663.0,0.0
hAA1952,1316.0,0.0,754.0,0.0
hAA1962,1506.0,0.0,1300.0,0.0
hAA2127,4311.0,0.0,4300.0,0.0
hAA2139,1866.0,0.0,1139.0,0.0
hAA2143,13038.0,0.0,4044.0,0.0
hAA2145,4200.0,0.0,2536.0,0.0
hAA3923,259.0,0.0,137.0,0.0
hAA3955,1241.0,0.0,443.0,0.0
hAC8138,756.0,0.0,549.0,0.0
hAC8157,426.0,0.0,227.0,0.0
hAC8201,254.0,0.0,43.0,0.0
hAC8207,357.0,0.0,200.0,0.0
hAD2444,0.0,0.0,0.0,0.0
hAD2505,104.0,0.0,115.0,0.0
hAD2594,270.0,0.0,113.0,0.0
hAD2677,149.0,0.0,90.0,0.0
hAD4371,303.0,0.0,171.0,0.0
hAD4373,0.0,0.0,0.0,0.0
hAD4377,149.0,0.0,133.0,0.0
hAD4383,0.0,0.0,0.0,0.0
hAA0551,4047.0,0.0,502.0,0.0
hAA0561,773.0,0.0,920.0,0.0
hAA0576,1221.0,0.0,0.0,0.0
hAB0607,589.0,0.0,821.0,0.0
hAB0724,1245.0,0.0,203.0,0.0
No_DNA,412.0,0.0,167.0,0.0
hAB7634,3532.0,0.0,3701.0,0.0
hAB7693,920.0,0.0,981.0,0.0
hAB7861,190.0,0.0,51.0,0.0
hAB7872,4332.0,0.0,1168.0,0.0
hAB9123,665.0,0.0,448.0,0.0
hAB9161,0.0,0.0,0.0,0.0
hAB9332,2238.0,0.0,1021.0,0.0
hAB9517,4558.0,0.0,321.0,0.0
hAC7900,998.0,0.0,620.0,0.0
hAC7908,738.0,0.0,446.0,0.0
hAC7930,1027.0,0.0,921.0,0.0
hAC7953,407.0,0.0,218.0,0.0
hAA1618,1481.0,0.0,381.0,0.0
hAA1621,8032.0,0.0,818.0,0.0
hAA5290,412.0,0.0,257.0,0.0
hAA5298,318.0,0.0,1172.0,0.0
hAA5317,202.0,0.0,270.0,0.0
hAA5353,343.0,0.0,128.0,0.0
hAA6361,2170.0,0.0,500.0,0.0
hAA6518,3124.0,0.0,1860.0,0.0
hAA6541,1019.0,0.0,1021.0,0.0
hAA6685,935.0,0.0,475.0,0.0
hAA9926,28.0,0.0,86.0,0.0
hAA9966,1330.0,0.0,398.0,0.0
hAB0076,2500.0,0.0,1007.0,0.0
hAB0080,1473.0,0.0,919.0,0.0
hAB0577,2550.0,0.0,1649.0,0.0
hAD1580,126.0,0.0,0.0,0.0
hAC8609,274.0,0.0,267.0,0.0
hAC8723,2114.0,0.0,2022.0,0.0
hAC8740,197.0,0.0,21.0,0.0
hAC8756,701.0,0.0,737.0,0.0
hAC9765,498.0,0.0,669.0,0.0
hAC9902,893.0,0.0,778.0,0.0
hAD0164,399.0,0.0,492.0,0.0
hAD0498,318.0,0.0,120.0,0.0
hAA1412,5948.0,0.0,4494.0,0.0
hAA1429,2772.0,0.0,1094.0,0.0
hAA1435,8512.0,0.0,3646.0,0.0
hAA1439,590.0,0.0,502.0,0.0
hAA1613,3687.0,0.0,1874.0,0.0
hAA1615,6494.0,0.0,1229.0,0.0
chAB7233,1738.0,0.0,1860.0,0.0
chAA0450,806.0,0.0,749.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
hAD1265,164.0,0.0,0.0,0.0
hAD1273,596.0,0.0,211.0,0.0
hAD1287,134.0,0.0,9.0,0.0
hAD1299,0.0,0.0,0.0,0.0
hAD1555,253.0,0.0,96.0,0.0
hAD1559,0.0,0.0,0.0,0.0
hAD1578,173.0,0.0,100.0,0.0
No_DNA,20.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
hAD7719,470.0,0.0,244.0,0.0
hAD7792,0.0,0.0,0.0,0.0
hAD7796,835.0,0.0,572.0,0.0
hAD7798,587.0,0.0,251.0,0.0
hAD7894,168.0,0.0,25.0,0.0
hAD7898,156.0,0.0,0.0,0.0
hAD7904,296.0,0.0,210.0,0.0
No_DNA,363.0,0.0,200.0,0.0
hAD6344,783.0,0.0,454.0,0.0
hAE2319,511.0,0.0,250.0,0.0
hAE2321,408.0,0.0,188.0,0.0
hAE1377,170.0,0.0,69.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
hAC2441,633.0,0.0,200.0,0.0
hAC2542,253.0,0.0,312.0,0.0
hAC2704,659.0,0.0,312.0,0.0
hAC4440,1457.0,0.0,711.0,0.0
hAC4487,5728.0,0.0,2319.0,0.0
hAC4495,2199.0,0.0,951.0,0.0
hAC4631,1742.0,0.0,311.0,0.0
hAC8792,639.0,0.0,175.0,0.0
hAC8808,492.0,0.0,281.0,0.0
hAC8867,1118.0,0.0,513.0,0.0
hAC8913,0.0,0.0,0.0,0.0
hAC9858,492.0,0.0,162.0,0.0
hAC9860,239.0,0.0,1258.0,0.0
hAC9874,362.0,0.0,150.0,0.0
hAC9891,547.0,0.0,313.0,0.0
hAA8342,332.0,0.0,174.0,0.0
hAA8355,1616.0,0.0,725.0,0.0
hAA8650,1178.0,0.0,729.0,0.0
hAA8655,1114.0,0.0,773.0,0.0
hAA8684,1040.0,0.0,673.0,0.0
hAA8719,245.0,0.0,153.0,0.0
hAB5701,438.0,0.0,931.0,0.0
hAB5750,153.0,0.0,500.0,0.0
hAB5804,1690.0,0.0,663.0,0.0
hAB5835,817.0,0.0,252.0,0.0
hAB6766,2488.0,0.0,496.0,0.0
hAB6778,6264.0,0.0,2046.0,0.0
hAB6809,531.0,0.0,251.0,0.0
hAB6840,5847.0,0.0,1911.0,0.0
hAC2305,1782.0,0.0,1011.0,0.0
hAA0611,1123.0,0.0,427.0,0.0
hAA0821,703.0,0.0,480.0,0.0
hAA0824,1722.0,0.0,1053.0,0.0
hAA0831,1068.0,0.0,439.0,0.0
hAA0845,735.0,0.0,632.0,0.0
hAA2276,3532.0,0.0,2174.0,0.0
hAA2280,4592.0,0.0,1777.0,0.0
hAA2282,1019.0,0.0,1213.0,0.0
hAA2285,2263.0,0.0,2512.0,0.0
hAA2424,1397.0,0.0,851.0,0.0
hAA2434,1718.0,0.0,2308.0,0.0
hAA2440,953.0,0.0,542.0,0.0
hAA2444,1338.0,0.0,847.0,0.0
hAA8321,4645.0,0.0,1035.0,0.0
hAA8326,1332.0,0.0,910.0,0.0
hAE0444,594.0,0.0,265.0,0.0
hAE0708,1990.0,0.0,1810.0,0.0
hAE2132,0.0,0.0,0.0,0.0
hAE2181,2012.0,0.0,510.0,0.0
hAD6262,683.0,0.0,262.0,0.0
hAD6271,656.0,0.0,308.0,0.0
hAD6284,811.0,0.0,440.0,0.0
hAD6296,6895.0,0.0,1267.0,0.0
hAD7833,519.0,0.0,274.0,0.0
hAD7838,649.0,0.0,208.0,0.0
hAD7841,462.0,0.0,215.0,0.0
hAD7843,0.0,0.0,6.0,0.0
hAA0540,635.0,0.0,297.0,0.0
hAA0594,3518.0,0.0,549.0,0.0
hAA0604,653.0,0.0,613.0,0.0
hAB5165,579.0,0.0,411.0,0.0
hAB5170,201.0,0.0,0.0,0.0
hAB5190,1466.0,0.0,967.0,0.0
hAC0294,872.0,0.0,225.0,0.0
hAC0308,352.0,0.0,235.0,0.0
hAC0343,4374.0,0.0,2157.0,0.0
hAC0360,3286.0,0.0,272.0,0.0
hAC0701,3306.0,0.0,634.0,0.0
hAC0705,434.0,0.0,303.0,0.0
hAC0717,2017.0,0.0,1086.0,0.0
hAC0723,1566.0,0.0,618.0,0.0
hAB0462,484.0,0.0,238.0,0.0
hAB0526,800.0,0.0,553.0,0.0
hAB1316,245.0,0.0,118.0,0.0
hAB3814,60.0,0.0,207.0,0.0
hAE0300,503.0,0.0,107.0,0.0
hAE0302,519.0,0.0,321.0,0.0
hAA5539,3303.0,0.0,1947.0,0.0
hAA5549,1610.0,0.0,1566.0,0.0
hAA5552,448.0,0.0,195.0,0.0
hAA5942,2495.0,0.0,1736.0,0.0
hAA5845,629.0,0.0,327.0,0.0
hAA5886,988.0,0.0,474.0,0.0
hAA5889,1049.0,0.0,755.0,0.0
hAA5912,234.0,0.0,55.0,0.0
hAB4719,401.0,0.0,228.0,0.0
hAB4733,479.0,0.0,270.0,0.0
hAB4755,1341.0,0.0,1191.0,0.0
hAB4771,421.0,0.0,190.0,0.0
hAB5135,935.0,0.0,790.0,0.0
hAC9512,768.0,0.0,378.0,0.0
hAE0567,723.0,0.0,336.0,0.0
hAE0593,732.0,0.0,282.0,0.0
hAE0625,240.0,0.0,34.0,0.0
hAE0629,830.0,0.0,384.0,0.0
No_DNA,1029.0,0.0,594.0,0.0
No_DNA,1.0,0.0,0.0,0.0
No_DNA,22.0,0.0,0.0,0.0
No_DNA,54.0,0.0,0.0,0.0
hAE0248,29.0,0.0,19.0,0.0
hAE0250,354.0,0.0,223.0,0.0
hAE0252,598.0,0.0,381.0,0.0
hAE0254,149.0,0.0,24.0,0.0
hAE0296,1039.0,0.0,690.0,0.0
hAE0298,1251.0,0.0,554.0,0.0
hAC2808,621.0,0.0,475.0,0.0
hAC2818,161.0,0.0,51.0,0.0
hAC2872,2448.0,0.0,1404.0,0.0
hAC2884,797.0,0.0,752.0,0.0
hAC3242,391.0,0.0,174.0,0.0
hAC3251,682.0,0.0,400.0,0.0
hAC3268,2663.0,0.0,1682.0,0.0
hAC3272,1162.0,0.0,719.0,0.0
hAC8606,2237.0,0.0,2101.0,0.0
hAC8660,6826.0,0.0,3786.0,0.0
hAC8676,489.0,0.0,211.0,0.0
hAC8703,807.0,0.0,106.0,0.0
hAC9416,1044.0,0.0,673.0,0.0
hAC9462,545.0,0.0,410.0,0.0
hAC9479,196.0,0.0,73.0,0.0
hAB1826,70.0,0.0,62.0,0.0
hAB1843,69.0,0.0,0.0,0.0
hAB1848,179.0,0.0,112.0,0.0
hAB2192,1707.0,0.0,1047.0,0.0
hAB2224,513.0,0.0,291.0,0.0
hAB2238,277.0,0.0,53.0,0.0
hAB2284,1308.0,0.0,628.0,0.0
hAB9309,654.0,0.0,1288.0,0.0
hAB9315,214.0,0.0,140.0,0.0
hAB9322,295.0,0.0,63.0,0.0
hAB9327,0.0,0.0,0.0,0.0
hAB9592,326.0,0.0,158.0,0.0
hAB9606,344.0,0.0,154.0,0.0
hAB9615,833.0,0.0,301.0,0.0
hAB9618,927.0,0.0,669.0,0.0
hAA6284,774.0,0.0,721.0,0.0
hAA6306,1144.0,0.0,836.0,0.0
hAA6511,454.0,0.0,334.0,0.0
hAA6515,209.0,0.0,99.0,0.0
hAA6521,16.0,0.0,30.0,0.0
hAA6524,610.0,0.0,335.0,0.0
hAA8534,2752.0,0.0,549.0,0.0
hAA8546,1781.0,0.0,2036.0,0.0
hAA8550,952.0,0.0,438.0,0.0
hAA8567,503.0,0.0,174.0,0.0
hAA8724,1617.0,0.0,1490.0,0.0
hAA8738,1352.0,0.0,944.0,0.0
hAA8746,2599.0,0.0,2384.0,0.0
hAA8755,131.0,0.0,45.0,0.0
hAB1815,831.0,0.0,764.0,0.0
hAA1324,2892.0,0.0,2062.0,0.0
hAA1436,10460.0,0.0,8247.0,0.0
hAA1440,3135.0,0.0,4196.0,0.0
hAA1444,1410.0,0.0,952.0,0.0
hAA1447,8434.0,0.0,5536.0,0.0
hAA2638,614.0,0.0,421.0,0.0
hAA2653,294.0,0.0,196.0,0.0
hAA2678,2022.0,0.0,1217.0,0.0
hAA2685,276.0,0.0,705.0,0.0
hAA2907,191.0,0.0,1275.0,0.0
hAA2918,5547.0,0.0,2846.0,0.0
chAA2931,5516.0,0.0,3660.0,0.0
hAA2943,1461.0,0.0,1151.0,0.0
hAA6260,1472.0,0.0,858.0,0.0
hAA6269,443.0,0.0,410.0,0.0
hAC9858,476.0,0.0,108.0,0.0
hAC9860,469.0,0.0,1941.0,0.0
hAC9874,221.0,0.0,177.0,0.0
hAC9891,459.0,0.0,236.0,0.0
hAD6344,668.0,0.0,487.0,0.0
hAE2319,722.0,0.0,434.0,0.0
hAE2321,618.0,0.0,357.0,0.0
hAE1377,135.0,0.0,10.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
hAA1308,1021.0,0.0,1488.0,0.0
hAA1316,550.0,0.0,339.0,0.0
hAA1318,0.0,0.0,0.0,0.0
hAB6778,8168.0,0.0,2702.0,0.0
hAB6809,346.0,0.0,137.0,0.0
hAB6840,7482.0,0.0,2305.0,0.0
hAC2305,1874.0,0.0,1086.0,0.0
hAC2441,830.0,0.0,411.0,0.0
hAC2542,578.0,0.0,747.0,0.0
hAC2704,732.0,0.0,456.0,0.0
hAC4440,1208.0,0.0,543.0,0.0
hAC4487,6514.0,0.0,2756.0,0.0
hAC4495,2630.0,0.0,1312.0,0.0
hAC4631,1767.0,0.0,284.0,0.0
hAC8792,608.0,0.0,264.0,0.0
hAC8808,441.0,0.0,267.0,0.0
hAC8867,638.0,0.0,361.0,0.0
hAC8913,101.0,0.0,0.0,0.0
hAA2440,529.0,0.0,553.0,0.0
hAA2444,1321.0,0.0,810.0,0.0
hAA8321,5115.0,0.0,1166.0,0.0
hAA8326,894.0,0.0,640.0,0.0
hAA8342,358.0,0.0,258.0,0.0
hAA8355,1318.0,0.0,811.0,0.0
hAA8650,923.0,0.0,507.0,0.0
hAA8655,965.0,0.0,607.0,0.0
hAA8684,959.0,0.0,682.0,0.0
hAA8719,92.0,0.0,40.0,0.0
hAB5701,486.0,0.0,1309.0,0.0
hAB5750,264.0,0.0,814.0,0.0
hAB5804,1756.0,0.0,850.0,0.0
hAB5835,1306.0,0.0,519.0,0.0
hAB6766,3715.0,0.0,927.0,0.0
hAD7843,0.0,0.0,0.0,0.0
hAA0540,884.0,0.0,349.0,0.0
hAA0594,3606.0,0.0,613.0,0.0
hAA0604,498.0,0.0,555.0,0.0
hAA0611,911.0,0.0,360.0,0.0
hAA0821,801.0,0.0,502.0,0.0
hAA0824,1524.0,0.0,994.0,0.0
hAA0831,752.0,0.0,264.0,0.0
hAA0845,839.0,0.0,713.0,0.0
hAA2276,3524.0,0.0,2307.0,0.0
hAA2280,5150.0,0.0,2341.0,0.0
hAA2282,1133.0,0.0,1342.0,0.0
hAA2285,2256.0,0.0,2721.0,0.0
hAA2424,1224.0,0.0,1028.0,0.0
hAA2434,2145.0,0.0,3277.0,0.0
hAD7719,443.0,0.0,151.0,0.0
hAD7792,0.0,0.0,0.0,0.0
hAD7796,763.0,0.0,592.0,0.0
hAD7798,493.0,0.0,357.0,0.0
hAD7894,199.0,0.0,17.0,0.0
hAD7898,69.0,0.0,5.0,0.0
hAD7904,167.0,0.0,22.0,0.0
No_DNA,370.0,0.0,193.0,0.0
hAD6262,339.0,0.0,332.0,0.0
hAD6271,503.0,0.0,315.0,0.0
hAD6284,536.0,0.0,242.0,0.0
hAD6296,7121.0,0.0,1565.0,0.0
hAD7833,362.0,0.0,179.0,0.0
hAD7838,368.0,0.0,104.0,0.0
hAD7841,0.0,0.0,0.0,0.0
No_DNA,812.0,0.0,472.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,83.0,0.0,0.0,0.0
No_DNA,548.0,0.0,190.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
No_DNA,0.0,0.0,0.0,0.0
hAD2491,508.0,0.0,119.0,0.0
hAD2550,847.0,0.0,259.0,0.0
hAD2622,836.0,0.0,581.0,0.0
hAD2689,1065.0,0.0,904.0,0.0
hAD4372,11.0,0.0,0.0,0.0
hAD4376,881.0,0.0,384.0,0.0
hAD4381,137.0,0.0,4.0,0.0
hAB7794,1718.0,0.0,0.0,0.0
hAB7862,174.0,0.0,240.0,0.0
hAB7942,0.0,0.0,0.0,0.0
hAB9130,1447.0,0.0,800.0,0.0
hAB9172,207.0,0.0,17.0,0.0
hAB9347,857.0,0.0,326.0,0.0
No_DNA,0.0,0.0,0.0,0.0
hAC7902,431.0,0.0,283.0,0.0
hAC7910,1065.0,0.0,220.0,0.0
hAC7947,450.0,0.0,454.0,0.0
hAC7958,2294.0,0.0,1315.0,0.0
hAC8140,214.0,0.0,216.0,0.0
hAC8186,561.0,0.0,400.0,0.0
hAC8203,460.0,0.0,250.0,0.0
No_DNA,177.0,0.0,43.0,0.0
hAA5322,736.0,0.0,857.0,0.0
hAA5359,849.0,0.0,577.0,0.0
hAA6479,527.0,0.0,514.0,0.0
hAA6526,1116.0,0.0,480.0,0.0
hAA6549,5360.0,0.0,2520.0,0.0
No_DNA,720.0,0.0,515.0,0.0
hAA9954,1429.0,0.0,869.0,0.0
hAB0070,2322.0,0.0,1854.0,0.0
hAB0079,3483.0,0.0,1985.0,0.0
hAB0118,1438.0,0.0,1013.0,0.0
hAB0599,331.0,0.0,324.0,0.0
hAB0691,670.0,0.0,571.0,0.0
No_DNA,292.0,0.0,250.0,0.0
No_DNA,180.0,0.0,50.0,0.0
hAB7672,3732.0,0.0,1092.0,0.0
hAC8787,221.0,0.0,159.0,0.0
hAC9901,1550.0,0.0,763.0,0.0
hAC9903,734.0,0.0,554.0,0.0
hAD0308,376.0,0.0,244.0,0.0
No_DNA,706.0,0.0,320.0,0.0
hAA1416,1415.0,0.0,245.0,0.0
hAA1434,683.0,0.0,700.0,0.0
hAA1438,1608.0,0.0,1846.0,0.0
hAA1070,4566.0,0.0,2168.0,0.0
hAA1614,2329.0,0.0,1190.0,0.0
hAA1617,3960.0,0.0,176.0,0.0
hAA1619,526.0,0.0,2972.0,0.0
hAA1622,1897.0,0.0,733.0,0.0
hAA5293,945.0,0.0,809.0,0.0
hAA5307,1543.0,0.0,1003.0,0.0
hAD1705,1419.0,0.0,711.0,0.0
hAD1718,3760.0,0.0,1756.0,0.0
hAD1722,152.0,0.0,7.0,0.0
No_DNA,0.0,0.0,0.0,0.0
